Facility,Year,GHG Facility ID,ECHO Facility Report,FRS ID,GHG Subpart,Chemical Formula,CAS Number,Amount (metric tons),State Territory or Tribe,EPA Region,Latitude,Longitude,EJSCREEN Report,City,ZIP Code
Wolfspeed RTP,2021,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,115-25-3,0.0064, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2021,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,559-40-0,0.0047, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2021,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,75-73-0,3.3280, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2021,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,76-16-4,1.6084, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2021,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,76-19-7,0.0065, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,338-83-0,0.2738, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9,0.0703, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,75-46-7,0.5207, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9 (e),0.0526, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,115-25-3,0.0241, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,559-40-0,0.0029, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,75-73-0,3.4964, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,76-16-4,0.5662, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2021,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,76-19-7,0.0191, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C2 CL3 F3,76-13-1,0.8608, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C8HF17O2,3330-14-1,1.2598, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C9 H3 F13 O6,63863-43-6,0.0000, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C3F6O,428-59-1,0.8502, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C7F14O4S,16090-14-5,1.0041, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C4F8O,10493-43-3,0.0000, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C5F10O,1623-05-8,0.0001, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C3F6; CF3CF=CF2,116-15-4,0.0004, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2020,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,CF3OCF=CF2,1187-93-5,0.0000, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
QORVO,2020,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,75-46-7,0.0198, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2020,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,69991-67-9 (e),0.1858, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2020,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,69991-67-9 (h),0.5995, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2020,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,559-40-0,0.0002, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2020,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,75-73-0,0.1644, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2020,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,76-16-4,0.0129, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,338-83-0,0.0998, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (Fomblin 14/6),0.0019, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (Fomblin Y25/6),0.0057, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,75-46-7,0.3241, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (e),0.0980, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (f),0.0070, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (h),0.0290, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,115-25-3,0.0127, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,559-40-0,0.0033, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,75-73-0,2.2909, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,76-16-4,1.5320, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2020,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,76-19-7,0.1634, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,338-83-0,0.1452, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9 (Fomblin 16/6),0.0178, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,75-46-7,0.6031, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9 (e),0.1047, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9 (f),0.0070, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,115-25-3,0.0067, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,559-40-0,0.0020, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,75-73-0,4.4402, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,76-16-4,0.2970, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2020,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,76-19-7,0.0572, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C6F12O2,2062-98-8,0.0002, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C8HF17O2,3330-14-1,3.8677, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,CF2O,353-50-4,0.9905, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C3F6O,428-59-1,30.5576, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,CHF3,75-46-7,5.8824, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C7F14O4S,16090-14-5,3.0510, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
CHEMOURS COMPANY - FAYETTEVILLE WORKS,2019,1006145,https://echo.epa.gov/detailed-facility-report?fid=110000559609,1.10001E+11,L: Fluorinated GHG Production,C4F8,379-16-8,23.0610, NC,04,34.8419,-78.8388,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.8388,%22y%22:34.8419,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",FAYETTEVILLE,28306
